82,已知一个有向图的邻接矩阵，则计算第i个顶点的入度的方法是？,求第i行所有元素之和,求第i列所有元素之和,求第i行和第i列所有元素之和,求矩阵所有元素之和,1,图,2
83,图的BFS生成树的树高和DFS生成树的树高相比？,BFS生成树更高,DFS生成树更高,一样高,不确定,1,图,3
84,若一个图的边集为{(1,2),(1,3),(2,4),(3,4),(4,5)}，则从顶点1开始进行深度优先遍历的序列可能是？,1 2 4 5 3,1 2 3 4 5,1 3 2 4 5,1 2 4 3 5,0,图,3
85,对于有n个顶点的带权连通图，其最小生成树的权值之和是？,唯一的,不唯一的,可能不唯一,0,2,图,3
86,关键路径是AOE网中？,从源点到汇点的最长路径,从源点到汇点的最短路径,最难找到的路径,边数最多的路径,0,图,3
87,顺序查找法适合于存储结构为？,顺序存储,链接存储,索引存储,顺序存储或链接存储,3,查找,1
88,对线性表进行二分查找时，要求线性表必须？,以顺序方式存储,以链接方式存储,以顺序方式存储且元素有序,以链接方式存储且元素有序,2,查找,1
89,在含有n个结点的二叉排序树中查找一个关键字，在最坏情况下的时间复杂度为？,O(n),O(logn),O(nlogn),O(n^2),0,查找,2
90,平衡二叉树(AVL树)中，任意结点的平衡因子的绝对值不超过？,0,1,2,3,1,查找,2
91,B-树和B+树的主要区别在于？,B+树的所有数据都在叶子结点,B-树的所有数据都在叶子结点,B+树是二叉树,B-树是平衡树,0,查找,4
92,采用开放定址法处理散列冲突时，如果从哈希表删除了一个元素，应该？,将该位置置为空,将该位置标记为删除,将后续元素前移,重新哈希整个表,1,哈希表,3
93,若字符串s="software"，则其子串的个数是？,8,9,36,37,3,串,3
94,KMP算法中next数组的作用是？,记录模式串的长度,记录当前匹配的位置,指导失配时的跳转位置,记录主串的长度,2,串,3
95,直接排序算法在最好情况下的时间复杂度为？,O(n),O(n^2),O(logn),O(nlogn),0,排序,2
96,冒泡排序在每一趟排序结束后？,能选出一个最大(或最小)的元素放最终位置,能选出两个最大(或最小)的元素,不能保证元素到位,元素位置不变,0,排序,1
97,下列排序算法中，哪一个是稳定的？,快速排序,堆排序,希尔排序,基数排序,3,排序,2
98,一组记录关键码为(50, 40, 95, 20, 15, 70, 60, 45)，用希尔排序(步长d=4)进行一趟排序后的结果为？,40 50 20 95 15 70 45 60,15 40 60 20 50 70 95 45,15 40 95 20 50 70 60 45,50 40 95 20 15 70 60 45,1,排序,4
99,堆排序在最好和最坏情况下的时间复杂度分别为？,O(nlogn) O(nlogn),O(n) O(n^2),O(n) O(nlogn),O(nlogn) O(n^2),0,排序,3
100,2路归并排序中，归并趟数的数量级是？,O(n),O(logn),O(nlogn),O(n^2),1,排序,2
101,基数排序属于哪一类排序方法？,插入排序,交换排序,选择排序,分配排序,3,排序,2
102,外部排序通常采用什么算法？,归并排序,快速排序,堆排序,希尔排序,0,排序,3
103,在对一组记录(54, 38, 96, 23, 15, 72, 60, 45, 83)进行直接插入排序时，当插入83时，比较次数为？,1,2,3,4,2,排序,3
104,快速排序的性能取决于？,基准元素的选择,数组长度,元素类型,递归深度,0,排序,3
105,设有向图G=(V，E)，顶点集V={v1，v2，v3，v4}，边集E={<v1，v2>，<v1，v3>，<v2，v3>，<v2，v4>，<v3，v4>}，该图的拓扑序列是？,v1 v2 v3 v4,v1 v3 v2 v4,v1 v2 v4 v3,v4 v1 v2 v3,0,图,3
106,Floyd算法的时间复杂度是？,O(n),O(n^2),O(n^3),O(e^2),2,图,3
107,设哈希表长m=13，哈希函数H(k)=k%13，冲突解决为链地址法。关键字序列{5, 20, 40, 26, 60}，查找60的比较次数是？,1,2,3,4,1,哈希表,3
108,以下哪种情况会导致递归函数执行时栈溢出？,递归层数太深,局部变量太少,参数太少,递归调用太慢,0,栈,1
109,算法的空间复杂度是指？,算法程序的大小,算法执行过程中所需要的存储空间,算法执行时间,算法输入数据的大小,1,线性表,1
110,数据的最小单位是？,数据项,数据元素,数据对象,数据结构,0,线性表,1
111,稀疏矩阵常用的压缩存储方法有？,三元组表,十字链表,邻接矩阵,A和B,3,数组,3
112,若二叉树的先序和后序遍历序列正好相反，则该二叉树？,高度等于其结点数,任一结点无左孩子,任一结点无右孩子,是空树或只有一个结点,0,树与二叉树,4
113,线索二叉树中，左线索ltag=1指向？,左孩子,前驱,后继,父结点,1,树与二叉树,2
114,无向图的邻接矩阵一定是？,对称矩阵,零矩阵,对角矩阵,三角矩阵,0,图,1
115,prim算法求最小生成树的时间复杂度与什么有关？,只与顶点数有关,只与边数有关,与顶点和边数都有关,都不相关,0,图,3
116,用二分查找法查找80个有序表中的元素，最多比较次数为？,6,7,5,8,1,查找,2
117,分块查找(索引顺序查找)的效率介于？,顺序查找和二分查找之间,二分查找和哈希查找之间,顺序查找和分块查找之间,哈希查找和树查找之间,0,查找,2
118,冒泡排序的最佳情况是？,数据完全无序,数据已有序,数据逆序,数据部分有序,1,排序,1
119,时间复杂度为O(n^2)且稳定的排序算法是？,快速排序,堆排序,直接插入排序,希尔排序,2,排序,2
120,以下哪种数据结构不是动态链表所必需的？,头指针,结点,连续内存空间,指针域,2,线性表,1
